avg_bpm,max_bpm,min_bpm,std_bpm,avg_peak_height,std_peak_height,avg_peak_distance,std_peak_distance,num_peaks,signal_std,label
48.01,51.86,44.36,5.82,634,10.78,1.25,0.034,7,41.03,0
49.83,55.98,40.99,3.46,617.72,25.7,1.204,0.049,8,16.17,0
48.15,59.81,40.4,2.4,642.97,13.36,1.246,0.024,9,15.75,0
47.14,58.39,39.47,6.42,561.5,26.47,1.273,0.033,6,23.76,0
45.77,53.5,42.08,3.35,587.93,25.73,1.311,0.053,8,23.43,0
55.59,60.16,45.82,2.15,651.62,25.78,1.079,0.05,10,18.28,0
42.51,51.6,35,4.31,564.66,22.54,1.411,0.053,7,21.3,0
54.38,60.89,50.72,4.87,694.75,26.88,1.103,0.017,8,39.59,0
60.42,68.79,52.36,3.42,603.35,23.76,0.993,0.024,11,25.18,1
83.94,93.45,72.85,6.28,582.96,12.68,0.715,0.04,14,40.87,1
84.9,88.3,81.44,5.64,666.28,13.26,0.707,0.019,15,35.56,1
70.15,76.35,60.73,4.21,581.43,13.24,0.855,0.07,10,41.33,1
66.44,74.89,58.53,5.2,663.18,18.82,0.903,0.013,11,31.98,1
93.62,102.34,82.63,2.27,588.08,17.74,0.641,0.049,16,23.85,1
85.65,92.6,74.76,6.28,522.28,11.23,0.7,0.035,13,31.16,1
64.2,68.09,54.18,3.78,610.03,27.26,0.935,0.054,11,21.38,1
79.81,86.21,75.77,4.12,584.76,28.84,0.752,0.049,13,27.11,1
79.57,83.27,74.89,2.12,577.8,20.89,0.754,0.06,13,23.69,1
71.05,74.83,66.85,3.42,667.79,21.89,0.845,0.023,10,32.73,1
96.44,102.11,91.42,4.32,547.69,15.9,0.622,0.014,16,23.07,1
97.91,103.03,94.84,4.29,600.1,24.92,0.613,0.074,16,34.59,1
67.8,74.15,63.98,1.95,559.19,17.84,0.885,0.066,10,23.85,1
73.09,78.32,66.9,3.06,677.19,17.3,0.821,0.055,12,29.28,1
83.44,89.06,78.8,1.97,531.83,15.14,0.719,0.012,12,29.9,1
64.97,68.61,53.95,5.46,578.27,27.14,0.923,0.04,10,37.18,1
63.3,71.87,56.05,2.48,614.81,18.34,0.948,0.041,9,44.84,1
86.34,90.38,79.57,5.6,524.71,26.57,0.695,0.024,15,37.49,1
77.48,81.54,67.29,5.36,620.86,23.45,0.774,0.029,11,26.74,1
93.57,103.78,87.55,4.98,679.69,5.44,0.641,0.062,16,17.5,1
83.95,88.66,76.06,2.91,612.13,21.43,0.715,0.069,14,23.92,1
78.72,86.62,68.1,3.8,685.53,20.29,0.762,0.042,12,24.22,1
65.85,71.11,62.52,3.13,596.87,13.25,0.911,0.05,9,44.59,1
79.07,90.43,71.27,1.56,520.8,28.1,0.759,0.028,14,37.85,1
63.88,71.66,55.42,6.36,587.63,13.5,0.939,0.025,10,18.73,1
60.62,66.38,54.16,1.58,616.78,22.76,0.99,0.02,10,15.14,1
96.01,105.63,86.42,4.78,544.45,27.42,0.625,0.077,15,36.76,1
83.8,91.34,79.53,3.64,607.22,16.55,0.716,0.061,14,36.97,1
89.92,94.81,85.62,2.08,561.9,23.54,0.667,0.031,14,32.58,1
84.79,91.84,80.45,4.52,605.65,11.29,0.708,0.077,15,41.26,1
62.5,66.59,54.75,1.75,531.23,9.02,0.96,0.042,11,27.1,1
60.34,71.76,53.72,3.85,684.98,23.95,0.994,0.069,9,27.54,1
135.71,143.05,131.14,1.54,609.38,10.95,0.442,0.014,23,37.61,2
149.5,156.68,145.42,8.72,560.72,26.07,0.401,0.019,23,39.14,2
139.65,149.51,135.22,5.87,665.59,25.21,0.43,0.045,23,27.04,2
142.07,149.48,132.69,8.16,673.19,26.07,0.422,0.05,23,42.1,2
122.73,129.47,119.36,7.95,560.26,21.58,0.489,0.021,21,44.29,2
126.35,133.28,115.1,7.54,600.65,19.73,0.475,0.053,21,40.41,2
130.1,141.83,126.93,4.89,567.06,25.64,0.461,0.057,21,29.3,2
138.39,147.22,129.98,7.73,624,12.6,0.434,0.011,23,24.1,2
137.96,141.62,133,3.93,671.56,7.52,0.435,0.038,23,22.65,2
138.73,144.94,133.9,7.69,573.33,21.56,0.433,0.077,22,28.97,2
145,152.89,141.92,7.64,672.77,14.34,0.414,0.055,25,27.94,2
118.65,128.72,113.34,5.36,643.95,25.1,0.506,0.043,19,20.14,2
131.27,135.06,126.33,6.29,558.6,26.25,0.457,0.025,20,21.56,2
106.38,117.55,98.87,2.64,683.39,12.19,0.564,0.039,18,29.76,2
117.49,128.75,105.95,4.7,562.69,11.72,0.511,0.022,20,22.55,2
105.18,111.37,97.8,2.02,579.16,13.42,0.57,0.015,17,21.43,2
117.54,126.83,114.52,3.91,529.32,8.36,0.51,0.018,19,33.05,2
133.04,136.72,124.75,6.67,649.66,14.7,0.451,0.043,23,39.19,2
106.14,117.05,102.51,2.77,671.89,12.23,0.565,0.051,16,19.42,2
150.18,156.65,144.91,3.53,553.87,20.04,0.4,0.056,24,36.86,2
142.11,151.4,130.12,4.53,614.45,10.23,0.422,0.052,22,38.41,2
104.54,110.34,92.6,6.78,589.03,22.41,0.574,0.019,17,24.94,2
111.08,122.38,102.7,5.13,656.81,9.98,0.54,0.018,19,23.32,2
110.44,119.37,102.53,6.62,632.73,7.62,0.543,0.042,19,38.06,2
106.07,112.41,98.5,4.57,610.01,23.05,0.566,0.02,17,42.73,2
150.65,155.4,141.49,4.83,610.44,12.23,0.398,0.075,24,27.39,2
113.78,125.69,110.14,1.71,620.99,14.07,0.527,0.034,17,27.31,2
125.11,136.85,121.43,5.49,668.66,23.27,0.48,0.075,20,16.62,2
113.16,120.93,105.03,5.19,577,21.78,0.53,0.012,18,27.83,2
106.65,113.27,95.88,2.58,527.93,15.25,0.563,0.028,18,43.32,2
101.8,109.16,98.26,2.19,657.5,6.85,0.589,0.044,17,37.13,2
132.5,140.87,126.52,1.84,524.39,8.48,0.453,0.076,22,25.28,2
146.96,154.95,139.2,5.71,618.74,10.93,0.408,0.03,24,34.21,2
